mof,1s,2s,3s,4s,5s,6s,2p,3p,4p,5p,3d,4d,5d,4f,metal,nlinker,linker1smi,linker2smi,temperature,time,oxidation_state,solvent1,solvent2,solvent3, additive
XOJWID_charged,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1ccc(P(=O)(O)O)cc1,O=C(O)c1ccc(P(=O)(O)O)cc1,170,48,2,6228,0000,0000,0000
XOJWOJ_clean,2,2,2,2,0,0,6,6,0,0,10,0,0,0,Zn,1,O=C(O)c1ccc(P(=O)(O)O)cc1,O=C(O)c1ccc(P(=O)(O)O)cc1,170,48,2,962,0000,0000,0000
DACXOV_clean,2,2,2,2,2,2,6,6,6,6,10,10,0,9,Tb,1,O=C(O)c1ccc2cc(C(=O)O)ccc2c1,O=C(O)c1ccc2cc(C(=O)O)ccc2c1,170,72,3,962,0000,0000,313
GURTIX_charged,2,2,2,2,2,0,6,6,6,1,10,10,0,0,In,2,O=C(O)c1ccc(C(=O)O)c(C(=O)O)c1,O=C(O)c1ccc(C(=O)O)cc1,170,72,3,962,0000,0000,0000
MAQJEW_clean,2,2,2,2,0,0,6,6,0,0,8,0,0,0,Ni,1,O=C(O)C(=O)O,O=C(O)C(=O)O,170,72,2,962,0000,0000,0000
UZAFIL_clean,2,2,2,2,0,0,6,6,0,0,8,0,0,0,Ni,2,O=C(O)CCCCC(=O)O,c1cn(CC(Cn2ccnc2)(Cn2ccnc2)Cn2ccnc2)cn1,170,72,2,962,0000,0000,0000
TAYNEN_clean,2,2,2,2,2,0,6,6,6,0,10,10,0,0,Cd,2,c1cc(CCCc2ccncc2)ccn1,O=C(O)c1cc(O)cc(C(=O)O)c1,170,96,2,962,0000,0000,14798
PIGXAF_clean,2,2,2,2,2,0,6,6,6,0,10,10,0,0,Cd,1,O=C(O)C(=O)O,O=C(O)C(=O)O,170,168,2,6228,887,0000,0000
UFASAW_charged,2,2,2,2,2,0,6,6,6,0,10,10,0,0,Cd,1,O=C(O)c1nc[nH]c1C(=O)O,O=C(O)c1nc[nH]c1C(=O)O,170,168,2,962,0000,0000,14797
DOKHIV_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,O=C(O)c1cc(C(=O)O)cc(C(=O)O)c1,180,12,2,962,702,0000,0000
DOKHOB_clean,2,2,2,1,0,0,6,6,0,0,10,0,0,0,Cu,2,c1cc(-c2ccncc2)ccn1,Cc1c(C(=O)O)c(C)c(C(=O)O)c(C)c1C(=O)O,180,12,2,962,702,0000,0000
AZAVOO_clean,2,2,2,0,0,0,6,0,0,0,0,0,0,0,Mg,1,O=C(O)c1ccc(-c2c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c2-c2ccc(C(=O)O)cc2)cc1,O=C(O)c1ccc(-c2c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c(-c3ccc(C(=O)O)cc3)c2-c2ccc(C(=O)O)cc2)cc1,180,24,2,962,12051,702,0000
